Timestamp;Backend;T1_Medio_us;T2_Medio_us;Error_Lectura_Medio_%
2026-04-30 07:32:26;ibm_fez;137.18;99.14;3.08
2026-04-30 07:32:26;ibm_kingston;260.88;158.59;2.82
2026-04-30 07:32:26;ibm_marrakesh;203.32;118.78;2.57
2026-04-30 19:32:31;ibm_fez;151.48;110.07;2.99
2026-04-30 19:32:31;ibm_kingston;260.88;158.59;2.69
2026-04-30 19:32:31;ibm_marrakesh;203.32;118.78;2.72
2026-05-01 07:32:35;ibm_fez;144.85;105.26;3.44
2026-05-01 07:32:35;ibm_kingston;267.71;161.77;2.69
2026-05-01 07:32:35;ibm_marrakesh;198.23;120.03;2.35
2026-05-01 19:32:39;ibm_fez;144.85;105.26;3.06
2026-05-01 19:32:39;ibm_kingston;267.71;161.77;2.75
2026-05-01 19:32:39;ibm_marrakesh;198.23;120.03;3.06
2026-05-02 07:32:43;ibm_fez;143.43;104.67;2.96
2026-05-02 07:32:43;ibm_kingston;262.16;163.89;3.21
2026-05-02 07:32:43;ibm_marrakesh;192.56;113.02;2.53
2026-05-02 19:32:47;ibm_fez;143.43;104.67;3.06
2026-05-02 19:32:47;ibm_kingston;262.16;163.89;2.82
2026-05-02 19:32:47;ibm_marrakesh;192.56;113.02;3.52
2026-05-03 07:32:52;ibm_fez;133.67;99.31;3.38
2026-05-03 07:32:52;ibm_kingston;265.22;158.3;2.54
2026-05-03 07:32:52;ibm_marrakesh;204.46;122.01;2.82
2026-05-03 19:32:56;ibm_fez;133.67;99.31;2.92
2026-05-03 19:32:56;ibm_kingston;265.22;158.3;2.9
2026-05-03 19:32:56;ibm_marrakesh;204.46;122.01;2.72
2026-05-04 07:33:00;ibm_fez;137.66;100.29;2.92
2026-05-04 07:33:00;ibm_kingston;259.54;154.02;2.99
2026-05-04 07:33:00;ibm_marrakesh;195.17;118.44;3.18
2026-05-04 19:33:05;ibm_fez;137.66;100.29;2.81
2026-05-04 19:33:05;ibm_kingston;259.54;154.02;2.64
2026-05-04 19:33:05;ibm_marrakesh;195.17;118.44;2.61
2026-05-05 07:33:09;ibm_fez;146.3;104.61;2.96
2026-05-05 07:33:09;ibm_kingston;254.03;155.5;2.65
2026-05-05 07:33:09;ibm_marrakesh;190.79;116.31;2.34
2026-05-05 19:33:14;ibm_fez;147.18;104.64;3.12
2026-05-05 19:33:14;ibm_kingston;254.03;155.5;2.84
2026-05-05 19:33:14;ibm_marrakesh;190.79;116.31;2.34
2026-05-06 07:33:18;ibm_fez;147.72;105.21;2.91
2026-05-06 07:33:18;ibm_kingston;267.81;169.79;2.59
2026-05-06 07:33:18;ibm_marrakesh;202.85;122.38;2.42
2026-05-06 19:33:22;ibm_fez;147.72;105.21;3.36
